"id_user","count","category","class"
"10,022",8,top_10_15,you
"10,036",1,top_10_15,you
"10,040",16,top_5_10,you
"10,070",165,top_5,you
"10,071",33,top_5_10,you
"10,072",6,top_5_10,you
"10,073",3,top_5,you
"10,080",119,top_5,you
"10,089",1,top_5_10,you
"10,107",6,top_10_15,you
"10,127",7,top_5_10,you
"10,128",5,top_5_10,you
"10,136",6,top_5_10,you
"10,148",7,top_10_15,you
"10,171","2,596",top_5,you
"10,175",505,top_5,you
"10,182",4,top_5_10,you
"10,214","1,560",top_5,you
"10,277",8,top_10_15,you
"10,291",1,top_5_10,you
"10,323",3,top_10_15,you
"10,332",13,top_10_15,you
"10,350",35,top_5,you
"10,351",16,top_10_15,you
"10,353",71,top_5,you
"10,371",80,top_5,you
"10,376",2,top_10_15,you
"10,388",23,top_5_10,you
"10,394",9,top_10_15,you
"10,402",3,top_10_15,you
"10,423",3,top_5_10,you
"10,434",4,top_5_10,you
"10,445",3,top_10_15,you
"10,490",2,top_10_15,you
"10,495",3,top_10_15,you
"10,503",3,top_5_10,you
"10,515",2,top_5_10,you
"10,543",1,top_10_15,you
"10,555",29,top_10_15,you
"10,564",4,top_10_15,you
"10,565",5,top_10_15,you
"10,585",4,top_5,you
"10,601",5,top_5_10,you
"10,606",68,top_5,you
"10,610",18,top_5,you
"10,611",21,top_5,you
"10,627",5,top_5_10,you
"10,635",10,top_5,you
"10,659",130,top_5,you
"10,660",143,top_5,you
"10,661",30,top_5_10,you
"10,663",312,top_5,you
"10,668",12,top_10_15,you
"10,672",61,top_5,you
"10,680",13,top_5_10,you
"10,682",31,top_5,you
"10,711",1,top_10_15,you
"10,728",42,top_5_10,you
"10,733",6,top_5_10,you
"10,734",32,top_10_15,you
"10,737",11,top_5,you
"10,782",4,top_5,you
"10,786",81,top_5,you
"10,788",2,top_5_10,you
"10,789",3,top_10_15,you
"10,792",6,top_5,you
"10,801",3,top_5_10,you
"10,824",1,top_5_10,you
"10,828",29,top_5_10,you
"10,853",82,top_5_10,you
"10,857",28,top_5,you
"10,873",6,top_10_15,you
"10,880",15,top_10_15,you
"10,883",61,top_10_15,you
"10,888",5,top_5,you
"10,904",317,top_5,you
"10,931",4,top_10_15,you
"10,957",107,top_5,you
"10,964",14,top_5_10,you
"10,965",55,top_5,you
"10,967",9,top_5_10,you
"10,969",67,top_5,you
"10,970",50,top_5_10,you
"10,972",5,top_5,you
"10,984",18,top_10_15,you
"10,998",11,top_10_15,you
"10,999",8,top_5_10,you
"11,011",4,top_5_10,you
"11,025",7,top_5_10,you
"11,026",7,top_5_10,you
"11,030",20,top_5_10,you
"11,038",3,top_10_15,you
"11,044",99,top_5,you
"11,047",3,top_5_10,you
"11,092",154,top_5,you
"11,093",29,top_10_15,you
"11,103",757,top_5,you
"11,108",24,top_5,you
"11,109",67,top_5,you
"11,124",12,top_5,you
"11,131",4,top_5_10,you
"11,143",2,top_10_15,you
"11,155",1,top_10_15,you
"11,162",6,top_10_15,you
"11,168",8,top_5,you
"11,176",3,top_10_15,you
"11,200",66,top_5,you
"11,209",8,top_10_15,you
"11,216",4,top_5_10,you
"11,267",13,top_10_15,you
"11,273",870,top_5,you
"11,278",25,top_5,you
"11,292",9,top_5_10,you
"11,298",37,top_5,you
"11,299",3,top_10_15,you
"11,303",6,top_5_10,you
"11,313",14,top_5,you
"11,315",2,top_5_10,you
"11,326",16,top_5_10,you
"11,328",47,top_5,you
"11,346",3,top_5_10,you
"11,391",6,top_5_10,you
"11,411",10,top_10_15,you
"11,412",22,top_5_10,you
"11,429",23,top_5,you
"11,448",65,top_5,you
"11,475",11,top_10_15,you
"11,496",29,top_5_10,you
"11,507",2,top_5_10,you
"11,509",2,top_10_15,you
"11,518",27,top_5,you
"11,542",3,top_5_10,you
"11,550",16,top_5_10,you
"11,570",10,top_10_15,you
"11,581",10,top_5_10,you
"11,592",2,top_10_15,you
"11,608",44,top_5_10,you
"11,617",21,top_5,you
"11,651",7,top_5_10,you
"11,692",30,top_5,you
"11,693",78,top_5,you
"11,709",73,top_5,you
"11,732",9,top_5_10,you
"11,747",6,top_10_15,you
"11,761",32,top_5_10,you
"11,767",21,top_10_15,you
"11,770",220,top_5,you
"11,774",2,top_10_15,you
"11,776",8,top_10_15,you
"11,787",14,top_5_10,you
"11,792",15,top_5_10,you
"11,797",9,top_5_10,you
"11,809",3,top_5,you
"11,820",38,top_5,you
"11,835",23,top_5_10,you
"11,840",167,top_5,you
"11,846",1,top_5_10,you
"11,849",8,top_5_10,you
"11,853",41,top_5_10,you
"11,866",9,top_5_10,you
"11,868",39,top_5,you
"11,923",8,top_5_10,you
"11,958",5,top_5_10,you
"11,965",40,top_10_15,you
"11,969",1,top_10_15,you
"11,979",1,top_5_10,you
"12,002",3,top_5_10,you
"12,024",6,top_10_15,you
"12,035",3,top_5,you
"12,046",1,top_5_10,you
"12,096",12,top_5_10,you
"12,114",2,top_5_10,you
"12,115",256,top_5,you
"12,124",6,top_10_15,you
"12,136",42,top_5,you
"12,147",23,top_5_10,you
"12,156",7,top_5_10,you
"12,159",18,top_10_15,you
"12,161",54,top_5,you
"12,179",12,top_10_15,you
"12,180",39,top_5_10,you
"12,181",15,top_10_15,you
"12,184",14,top_5,you
"12,203",25,top_10_15,you
"12,212",70,top_5,you
"12,229",1,top_5_10,you
"12,240",19,top_5_10,you
"12,253",1,top_5_10,you
"12,269",45,top_5_10,you
"12,331",21,top_5_10,you
"12,332",1,top_5_10,you
"12,352",128,top_5,you
"12,357",124,top_5,you
"12,364",2,top_10_15,you
"12,374",2,top_5_10,you
"12,377",36,top_5,you
"12,380",9,top_5,you
"12,389",10,top_10_15,you
"12,392",23,top_5,you
"12,450",10,top_5_10,you
"12,479",192,top_5,you
"12,497",5,top_10_15,you
"12,502",32,top_10_15,you
"12,508",1,top_10_15,you
"12,528",10,top_5,you
"12,537",15,top_5,you
"12,539",11,top_5_10,you
"12,594",122,top_5,you
"12,596",31,top_5,you
"12,605",4,top_5,you
"12,615",25,top_5,you
"12,619",13,top_10_15,you
"12,641",6,top_10_15,you
"12,650",4,top_5,you
"12,660",5,top_5_10,you
"12,686",3,top_10_15,you
"12,687",11,top_5_10,you
"12,691",4,top_5,you
"12,699",5,top_5,you
"12,723",5,top_10_15,you
"12,743",89,top_5,you
"12,782",2,top_5_10,you
"12,793",7,top_10_15,you
"12,799",27,top_5,you
"12,821",29,top_5,you
"12,832",3,top_10_15,you
"12,876",3,top_10_15,you
"12,903",8,top_5_10,you
"12,905",4,top_10_15,you
"12,913",24,top_5,you
"12,924",45,top_5_10,you
"12,928",10,top_10_15,you
"12,933",16,top_10_15,you
"12,950",10,top_10_15,you
"12,963",88,top_5,you
"13,000",1,top_10_15,you
"13,002",26,top_5,you
"13,004",3,top_5_10,you
"13,023",1,top_10_15,you
"13,025",12,top_10_15,you
"13,035",29,top_5_10,you
