"id_user","count_i_usage","category","class","class2"
"33,880",8,top_20_25,ordinary,ordinary
"33,883",1,top_50_100,ordinary,ordinary
"33,885",2,top_50_100,ordinary,ordinary
"33,886",1,top_50_100,ordinary,ordinary
"33,888",3,top_50_100,ordinary,ordinary
"33,892",4,top_50_100,ordinary,ordinary
"33,894",5,top_10_15,top_10_15,outstanding
"33,896",17,top_5,top_5,outstanding
"33,899",5,top_10_15,top_10_15,outstanding
"33,902",1,top_50_100,ordinary,ordinary
"33,903",5,top_50_100,ordinary,ordinary
"33,908",1,top_25_30,ordinary,ordinary
"33,910",2,top_35_40,ordinary,ordinary
"33,914",2,top_15_20,ordinary,ordinary
"33,917",19,top_50_100,ordinary,ordinary
"33,918",1,top_35_40,ordinary,ordinary
"33,920",6,top_50_100,ordinary,ordinary
"33,925",10,top_10_15,top_10_15,outstanding
"33,927",273,top_5,top_5,outstanding
"33,928",8,top_50_100,ordinary,ordinary
"33,933",9,top_10_15,top_10_15,outstanding
"33,934",5,top_35_40,ordinary,ordinary
"33,935",184,top_5,top_5,outstanding
"33,936",1,top_50_100,ordinary,ordinary
"33,937",1,top_10_15,top_10_15,outstanding
"33,938",1,top_45_50,ordinary,ordinary
"33,939",1,top_50_100,ordinary,ordinary
"33,941",5,top_50_100,ordinary,ordinary
"33,944",7,top_40_45,ordinary,ordinary
"33,945",44,top_5_10,top_5_10,outstanding
"33,948",10,top_5_10,top_5_10,outstanding
"33,949",1,top_10_15,top_10_15,outstanding
"33,952",1,top_50_100,ordinary,ordinary
"33,954",8,top_40_45,ordinary,ordinary
"33,957",2,top_50_100,ordinary,ordinary
"33,958",1,top_50_100,ordinary,ordinary
"33,963",3,top_40_45,ordinary,ordinary
"33,964",1,top_50_100,ordinary,ordinary
"33,965",2,top_10_15,top_10_15,outstanding
"33,967",8,top_30_35,ordinary,ordinary
"33,968",2,top_50_100,ordinary,ordinary
"33,969",21,top_20_25,ordinary,ordinary
"33,972",8,top_45_50,ordinary,ordinary
"33,975",12,top_30_35,ordinary,ordinary
"33,976",4,top_50_100,ordinary,ordinary
