"id_user","count_they_usage","category","class","class2"
"8,565",1,top_35_40,ordinary,ordinary
"8,571",1,top_50_100,ordinary,ordinary
"8,582",1,top_50_100,ordinary,ordinary
"8,583",2,top_15_20,ordinary,ordinary
"8,584",2,top_5_10,top_5_10,outstanding
"8,585",30,top_5_10,top_5_10,outstanding
"8,586",9,top_5,top_5,outstanding
"8,587",1,top_50_100,ordinary,ordinary
"8,593",1,top_10_15,top_10_15,outstanding
"8,596",11,top_25_30,ordinary,ordinary
"8,598",1,top_50_100,ordinary,ordinary
"8,601",5,top_10_15,top_10_15,outstanding
"8,603",17,top_5,top_5,outstanding
"8,625",5,top_20_25,ordinary,ordinary
"8,638",1,top_25_30,ordinary,ordinary
"8,639",1,top_25_30,ordinary,ordinary
"8,644",2,top_20_25,ordinary,ordinary
"8,646",1,top_25_30,ordinary,ordinary
"8,652",2,top_50_100,ordinary,ordinary
"8,656",4,top_25_30,ordinary,ordinary
"8,657",3,top_15_20,ordinary,ordinary
"8,661",2,top_15_20,ordinary,ordinary
"8,673",1,top_35_40,ordinary,ordinary
"8,674",2,top_5,top_5,outstanding
"8,682",1,top_15_20,ordinary,ordinary
"8,683",1,top_15_20,ordinary,ordinary
"8,684",2,top_45_50,ordinary,ordinary
"8,687",4,top_10_15,top_10_15,outstanding
"8,691",1,top_50_100,ordinary,ordinary
"8,692",1,top_10_15,top_10_15,outstanding
"8,693",1,top_50_100,ordinary,ordinary
"8,698",7,top_5_10,top_5_10,outstanding
"8,701",2,top_30_35,ordinary,ordinary
"8,708",16,top_50_100,ordinary,ordinary
"8,711",27,top_5,top_5,outstanding
"8,712",9,top_5_10,top_5_10,outstanding
"8,714",2,top_50_100,ordinary,ordinary
"8,715",3,top_50_100,ordinary,ordinary
"8,719",2,top_25_30,ordinary,ordinary
"8,720",1,top_15_20,ordinary,ordinary
"8,723",2,top_30_35,ordinary,ordinary
"8,724",3,top_5_10,top_5_10,outstanding
"8,729",3,top_10_15,top_10_15,outstanding
"8,740",3,top_10_15,top_10_15,outstanding
"8,746",3,top_15_20,ordinary,ordinary
"8,747",11,top_50_100,ordinary,ordinary
"8,748",1,top_45_50,ordinary,ordinary
"8,752",3,top_10_15,top_10_15,outstanding
"8,754",1,top_50_100,ordinary,ordinary
"8,755",2,top_35_40,ordinary,ordinary
"8,757",9,top_15_20,ordinary,ordinary
"8,759",1,top_20_25,ordinary,ordinary
"8,760",1,top_45_50,ordinary,ordinary
"8,761",2,top_15_20,ordinary,ordinary
"8,762",3,top_15_20,ordinary,ordinary
"8,766",1,top_20_25,ordinary,ordinary
"8,771",40,top_5,top_5,outstanding
"8,772",1,top_5_10,top_5_10,outstanding
"8,774","1,124",top_5,top_5,outstanding
"8,779",4,top_45_50,ordinary,ordinary
"8,780",45,top_5_10,top_5_10,outstanding
"8,792",1,top_20_25,ordinary,ordinary
"8,795",3,top_50_100,ordinary,ordinary
"8,796",6,top_5,top_5,outstanding
"8,806",15,top_5,top_5,outstanding
"8,808",21,top_5,top_5,outstanding
"8,812",5,top_20_25,ordinary,ordinary
"8,816",18,top_5,top_5,outstanding
