"id_user","count_she_he_usage","category","class","class2"
"8,426",3,top_20_25,ordinary,ordinary
"8,437",1,top_10_15,top_10_15,outstanding
"8,444",2,top_50_100,ordinary,ordinary
"8,467",1,top_10_15,top_10_15,outstanding
"8,478",5,top_5,top_5,outstanding
"8,482",1,top_50_100,ordinary,ordinary
"8,504",2,top_35_40,ordinary,ordinary
"8,512",1,top_5,top_5,outstanding
"8,517",4,top_5_10,top_5_10,outstanding
"8,518",3,top_35_40,ordinary,ordinary
"8,519",2,top_50_100,ordinary,ordinary
"8,529",1,top_10_15,top_10_15,outstanding
"8,532",2,top_50_100,ordinary,ordinary
"8,533",7,top_5,top_5,outstanding
"8,550",2,top_50_100,ordinary,ordinary
"8,554",2,top_50_100,ordinary,ordinary
"8,584",4,top_5_10,top_5_10,outstanding
"8,585",4,top_5_10,top_5_10,outstanding
"8,639",1,top_25_30,ordinary,ordinary
"8,682",1,top_15_20,ordinary,ordinary
"8,701",4,top_30_35,ordinary,ordinary
"8,711",2,top_5,top_5,outstanding
"8,712",1,top_5_10,top_5_10,outstanding
"8,719",4,top_25_30,ordinary,ordinary
"8,724",1,top_5_10,top_5_10,outstanding
"8,735",1,top_15_20,ordinary,ordinary
"8,761",1,top_15_20,ordinary,ordinary
"8,774",66,top_5,top_5,outstanding
"8,780",1,top_5_10,top_5_10,outstanding
"8,806",1,top_5,top_5,outstanding
"8,808",3,top_5,top_5,outstanding
"8,817",6,top_50_100,ordinary,ordinary
"8,844",9,top_50_100,ordinary,ordinary
"8,867",2,top_5,top_5,outstanding
"8,876",4,top_50_100,ordinary,ordinary
"8,915",1,top_10_15,top_10_15,outstanding
"8,929",1,top_45_50,ordinary,ordinary
"8,932",2,top_5_10,top_5_10,outstanding
"8,945",7,top_10_15,top_10_15,outstanding
"8,946",17,top_5,top_5,outstanding
"8,961",1,top_50_100,ordinary,ordinary
"8,963",2,top_50_100,ordinary,ordinary
"8,965",1,top_50_100,ordinary,ordinary
"8,971",1,top_5_10,top_5_10,outstanding
"8,977",2,top_15_20,ordinary,ordinary
"8,998",44,top_5,top_5,outstanding
"9,002",1,top_15_20,ordinary,ordinary
"9,006",43,top_5,top_5,outstanding
"9,009",2,top_15_20,ordinary,ordinary
"9,013",3,top_5,top_5,outstanding
"9,014",137,top_5,top_5,outstanding
"9,032",2,top_5,top_5,outstanding
"9,037",4,top_25_30,ordinary,ordinary
"9,065",14,top_5,top_5,outstanding
"9,104",1,top_50_100,ordinary,ordinary
"9,123",5,top_5,top_5,outstanding
"9,124",2,top_30_35,ordinary,ordinary
"9,128",3,top_50_100,ordinary,ordinary
"9,141",4,top_5_10,top_5_10,outstanding
"9,145",5,top_5_10,top_5_10,outstanding
"9,148",2,top_25_30,ordinary,ordinary
"9,159",1,top_5_10,top_5_10,outstanding
"9,162",13,top_5,top_5,outstanding
"9,175",10,top_50_100,ordinary,ordinary
"9,213",1,top_5,top_5,outstanding
"9,239",5,top_5,top_5,outstanding
"9,255",1,top_20_25,ordinary,ordinary
