"id_user","betweenness","closeness","clustering_coefficient","indegree","outdegree","class","class2"
"24,540",0,0.2855566454,0.3333333433,1,6,ordinary,ordinary
"21,472",0,0.1978343949,0,1,1,ordinary,ordinary
"7,357",36.4036958835,0.2602257488,0.3333333433,1,2,ordinary,ordinary
"12,798",0,0.2859422959,0,0,3,ordinary,ordinary
"7,465",0,0.2552480132,0.5,1,1,ordinary,ordinary
"14,453",0,0.2809578382,0.5,1,5,ordinary,ordinary
"14,521",0,0.3021340079,0.5,1,6,ordinary,ordinary
"24,020",181.1321084791,0.2740540222,0.3571428657,3,7,ordinary,ordinary
"7,273",0,0.255540926,0,0,1,ordinary,ordinary
"22,981",0,0.2481619606,0.3333333433,1,3,ordinary,ordinary
"11,327","7,567",1,0,1,1,ordinary,ordinary
"7,861",0,1,0.5,1,2,ordinary,ordinary
"17,913","5,737.6166535144",0.3001998324,0.472222209,4,7,ordinary,ordinary
"8,095",0,0.2375682154,0,0,1,ordinary,ordinary
"14,429",0,0.2809408926,1,0,2,ordinary,ordinary
"15,006","7,566",0.2519340005,0,1,2,ordinary,ordinary
"17,816",75.4864423646,0.2335740796,0,3,1,ordinary,ordinary
"17,723",0,0.292181328,0,0,2,ordinary,ordinary
"16,752",0,0,0,1,0,ordinary,ordinary
"21,919",58.5956134247,0.2379419579,0.5833333135,2,3,ordinary,ordinary
"11,625",0,0.2882520426,0.5,3,2,ordinary,ordinary
"21,026",0,0,0,1,0,ordinary,ordinary
"11,839",50.1063830768,0.3010731833,0.6666666865,2,4,ordinary,ordinary
"23,255",0,0.264960182,0,0,2,ordinary,ordinary
"9,500",0,0.2658675799,0.5,1,2,ordinary,ordinary
"18,956",687.968922351,0.3021340079,0.1666666716,5,3,ordinary,ordinary
"12,348",2.6729133583,0.2557526498,0,1,1,ordinary,ordinary
"7,572",0,0.2767347909,0.349999994,1,5,ordinary,ordinary
"6,917",13.139870526,0.2115568073,0,3,1,ordinary,ordinary
"10,219",117.9375259906,0.3021279356,0.3333333433,1,3,ordinary,ordinary
"8,559",0,0,0.5,2,0,ordinary,ordinary
"14,411",265.1462520631,0.2481747935,0.4285714328,7,2,ordinary,ordinary
"14,639","4,767.9812751924",0.3020691445,0.200000003,2,3,ordinary,ordinary
"21,831","1,333.6498220625",0.3159430122,0.2638888955,3,8,ordinary,ordinary
"10,764",25.9421462464,0.3052369404,0.2857142985,1,6,ordinary,ordinary
"15,844",0,0.3205781142,0.6666666865,1,6,ordinary,ordinary
"25,477",0,0.2567537766,0,1,1,ordinary,ordinary
"15,017",0,0.2731163882,0.3333333433,1,4,ordinary,ordinary
"19,732",0,0.2943443918,0.4166666567,1,4,ordinary,ordinary
"11,064",0,0.3191285284,0.5357142687,1,8,ordinary,ordinary
"17,077",138.9180297797,0.2710552354,0,2,2,ordinary,ordinary
"11,605",0,0.294847449,0.6666666865,1,3,ordinary,ordinary
"23,550",502.5244335331,0.3027958388,0.3333333433,2,2,ordinary,ordinary
"17,525",0,0.2920925566,0,0,1,ordinary,ordinary
"9,404",0,0.2615851261,0,1,1,ordinary,ordinary
"10,058",0,0.3126174497,0.75,1,4,ordinary,ordinary
"10,347",0,0.2907796991,0.5,0,3,ordinary,ordinary
"10,441",67.1893099803,0.2904815369,0.6666666865,2,3,ordinary,ordinary
"8,656",26.2071547564,0.2697741749,0.2380952388,2,6,ordinary,ordinary
"8,665",0,0.2363867039,0,0,1,ordinary,ordinary
"10,716",0,0.3240573257,0.8000000119,1,5,ordinary,ordinary
"23,191",264.7256320819,0.2636137213,0.2666666806,5,2,ordinary,ordinary
"15,272",0,0.3051224944,0.8333333135,0,3,ordinary,ordinary
"15,947",0,0.302290869,0.4333333373,1,6,ordinary,ordinary
